1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.543087	0.000000	4.675685	0.079011	366.7
1	-1.582419	0.000000	4.675685	0.040468	11.3
2	-1.588588	0.000000	4.675685	0.030867	13.3
3	-1.579272	0.000000	4.675685	0.031127	11.5
4	-1.577554	0.000000	4.675685	0.023751	12.7
5	-1.588211	0.918638	4.479721	0.017193	11.5
6	-1.605773	0.887549	4.486084	0.021883	10.1
7	-1.591389	0.856459	4.492465	0.019288	9.9
8	-1.596047	0.825783	4.498780	0.015808	9.3
9	-1.606739	0.794694	4.505197	0.015029	9.9
10	-1.589547	1.794694	4.307555	0.024453	11.7
11	-1.576797	2.794694	4.126525	0.022887	10.6
12	-1.583574	3.794694	3.960097	0.013761	10.8
13	-1.591407	3.763604	3.965069	0.018760	10.1
14	-1.583963	4.763604	3.811167	0.019584	10.6
15	-1.595779	5.763604	3.668766	0.015772	11.6
16	-1.592827	5.732514	3.673032	0.025025	13.3
17	-1.597916	6.732514	3.540587	0.016653	10.0
18	-1.610479	7.732514	3.417362	0.022610	10.7
19	-1.597932	7.701425	3.421063	0.018994	11.7
20	-1.596433	8.701425	3.305881	0.015201	10.3
21	-1.584922	9.701425	3.198203	0.010075	10.6
22	-1.595118	9.670335	3.201445	0.015469	11.3
23	-1.577082	9.639246	3.204693	0.015462	10.1
24	-1.601997	10.639246	3.103405	0.017309	10.7
25	-1.584105	10.608156	3.106457	0.018790	11.2
26	-1.613924	11.608156	3.011191	0.019094	11.2
27	-1.598860	12.608156	2.921594	0.018866	11.7
28	-1.579147	12.577066	2.924299	0.014762	12.4
29	-1.595430	12.545977	2.927009	0.018726	11.1
30	-1.597798	13.545977	2.842281	0.018623	12.4
31	-1.581847	13.514887	2.844842	0.020913	12.2
32	-1.602212	14.514406	2.764776	0.016891	11.5
33	-1.590030	15.514406	2.689059	0.012621	10.6
34	-1.592109	16.514313	2.617385	0.012644	9.4
35	-1.581483	16.522437	2.616818	0.015293	9.1
36	-1.590771	17.522437	2.548888	0.015335	10.2
37	-1.585673	17.491347	2.550947	0.016525	10.7
38	-1.593700	18.491347	2.486352	0.012256	9.5
39	-1.583041	19.491347	2.424947	0.024340	10.1
40	-1.568946	20.491347	2.366503	0.011366	9.0
41	-1.594952	21.491347	2.310809	0.006700	9.9
42	-1.594433	21.486168	2.311091	0.015014	9.2
43	-1.592139	21.456962	2.312681	0.021070	10.7
44	-1.584739	21.425872	2.314375	0.019590	10.2
45	-1.595802	22.425872	2.261080	0.018352	10.3
46	-1.580243	23.425427	2.210207	0.016894	9.5
47	-1.587832	23.408177	2.211065	0.009435	9.8
48	-1.587214	24.404572	2.162544	0.016936	10.0
49	-1.598312	25.404566	2.115942	0.022527	12.1
50	-1.589354	25.373478	2.117361	0.020080	11.8
51	-1.600313	26.373478	2.072666	0.014416	11.1
52	-1.585030	26.342389	2.074027	0.013300	11.4
53	-1.580649	26.311300	2.075390	0.023081	10.9
54	-1.584776	27.311283	2.032432	0.015020	11.0
55	-1.589494	27.280193	2.033741	0.011910	10.7
56	-1.593600	28.280192	1.992472	0.009365	9.6
57	-1.578101	29.280189	1.952844	0.011061	10.9
58	-1.590797	30.280015	1.914769	0.014354	11.5
59	-1.592667	31.280015	1.878144	0.019120	9.7
60	-1.590622	32.279657	1.842906	0.017095	11.5
61	-1.588221	33.279657	1.808954	0.011830	11.3
62	-1.608426	33.248568	1.809990	0.016742	9.6
63	-1.606985	34.248568	1.777230	0.009171	8.9
64	-1.605820	34.343286	1.774188	0.019100	12.1
65	-1.597286	35.343277	1.742699	0.010021	11.8
66	-1.594467	35.319912	1.743422	0.013395	11.3
67	-1.591241	36.203087	1.716505	0.011606	11.8
68	-1.589114	37.120374	1.689414	0.011842	12.7
69	-1.593172	37.560940	1.676704	0.013895	12.3
70	-1.586170	37.529945	1.677592	0.010961	10.7
71	-1.576884	38.253716	1.657101	0.013627	10.3
72	-1.577601	38.235472	1.657611	0.011774	10.8
73	-1.594768	39.235461	1.630093	0.014351	11.9
74	-1.584143	40.128070	1.606290	0.008000	9.9
